X,Y,GT,K,TH,U,CT,U_K,TH_K,U_TH,MDT,B02,B03,B04,B06,B07,TARGET
636913.6800000003,7974364.57,0.043682,1.19,8.72,2.98,4.62,4.32,6.98,0.62,1388.3,9018.0,8625.0,8800.0,17003.0,13013.0,4
639788.6800000003,7980927.079999999,0.050566,0.33,2.45,1.54,2.13,5.44,11.35,0.5,1378.7,8907.0,8355.0,8255.0,14823.0,12216.0,6
637038.68,7979677.080000001,0.024932,0.25,13.01,2.51,4.46,5.47,24.79,0.32,1458.15,9204.0,8762.0,9114.0,17694.0,14578.0,3
636601.1800000003,7971114.559999999,0.017394,1.55,23.73,8.43,14.38,4.3,12.24,0.35,1278.66,8316.0,7921.0,7233.0,11564.0,8203.0,1
638851.1800000003,7982864.579999999,0.013108000000000002,2.04,10.74,2.55,6.59,1.63,6.46,0.23,1415.17,8750.0,8353.0,8939.0,16660.0,13367.0,5
638351.1800000003,7974739.57,0.07379400000000001,2.07,10.72,5.05,9.58,2.23,6.53,0.35,1380.5100000000002,8568.0,8026.0,7994.0,13116.0,9928.0,4
637788.6800000003,7974114.570000001,0.025889999999999996,2.76,22.95,4.23,11.85,2.26,7.48,0.31,1406.33,9227.0,8789.0,8980.0,16132.0,12033.0,2
639288.6800000003,7981052.08,0.061246,0.49,7.0,3.2,4.78,4.51,10.64,0.41,1372.11,8363.0,7893.0,7553.0,11366.0,8715.0,5
636913.6800000003,7979427.079999999,0.014464,0.58,3.51,0.97,2.23,3.94,9.79,0.42,1447.99,8954.0,8400.0,8503.0,15802.0,12393.0,3
639038.68,7978364.58,0.016574000000000002,0.19,2.38,1.38,2.15,11.01,34.6,0.3,1417.52,9987.0,9407.0,9621.0,16914.0,14599.0,6
639038.68,7978739.58,0.015451,0.15,2.25,0.75,1.57,11.4,17.17,0.68,1407.6500000000005,9711.0,9642.0,9931.0,17807.0,15018.0,6
635851.1800000003,7969989.56,0.218067,1.14,11.41,5.05,8.960000000000003,4.83,10.22,0.48,1242.82,8690.0,8637.0,8846.0,13961.0,11127.0,2
636101.18,7977552.0699999975,0.018556,0.5,2.64,2.3,3.04,6.75,9.82,0.67,1395.45,8535.0,7979.0,7885.0,13237.0,9931.0,4
635351.1800000003,7969489.559999999,0.085927,1.07,14.54,6.56,10.22,4.09,9.7,0.44,1290.64,8896.0,8549.0,8905.0,16464.0,11594.0,2
638851.1800000003,7978364.58,0.020373,0.28,4.87,1.22,2.78,5.81,20.94,0.31,1418.89,8701.0,8158.0,8310.0,13648.0,11499.0,6
636101.18,7976364.57,0.032672,0.29,2.75,2.86,3.14,7.76,8.6,0.91,1322.41,9498.0,9912.0,11765.0,20173.0,16592.0,4
634538.68,7971864.570000001,0.056235,0.72,5.42,2.86,4.69,2.86,5.51,0.54,1276.7,8834.0,8249.0,8383.0,13574.0,11891.0,6
638288.6800000003,7980677.08,0.029077,0.18,4.09,1.66,2.53,5.95,13.26,0.43,1430.17,9602.0,9280.0,9559.0,18047.0,14910.0,5
638476.1800000003,7977114.570000001,0.054786,0.3,4.41,1.77,2.64,4.94,10.63,0.45,1397.69,9384.0,9278.0,9868.0,18003.0,14136.0,3
637413.6800000003,7971989.57,0.02033,3.62,15.41,4.92,13.1,2.01,5.62,0.39,1365.11,9154.0,9036.0,9558.0,14832.0,11223.0,4
635351.1800000003,7971302.059999999,0.020897,2.54,16.95,5.55,12.43,2.15,6.83,0.33,1311.83,8961.0,8734.0,9066.0,15203.0,11336.0,2
636913.6800000003,7980052.08,0.021373,0.22,16.37,3.36,6.56,7.24,38.81,0.2,1460.96,8969.0,8831.0,9502.0,16910.0,12232.0,3
639851.19,7982552.08,0.022798,0.37,6.59,2.1,4.31,4.42,11.25,0.4,1351.66,8886.0,8531.0,8692.0,15658.0,11605.0,5
638288.6800000003,7976239.57,0.013294,0.67,7.68,3.39,5.49,4.72,13.77,0.34,1413.79,9331.0,9065.0,9356.0,16713.0,13899.0,3
