X,Y,ENTROPY
637538.680,7980489.580,1.263
636038.680,7970177.060,0.913
638976.180,7979864.580,0.869
638788.680,7972364.570,0.624
635913.680,7977614.570,1.093
640038.690,7980427.080,1.297
638163.680,7976114.570,0.708
637851.180,7971552.060,0.325
638101.180,7976114.570,0.899
637538.680,7977427.070,0.241
637351.180,7979052.080,0.663
638226.180,7973427.070,1.204
639913.690,7981802.080,0.988
636851.180,7972927.070,1.107
638663.680,7975427.070,0.236
634976.180,7971614.560,1.111
639476.180,7982427.080,0.436
637726.180,7976489.570,0.467
639288.680,7974677.070,1.686
638351.180,7976177.070,0.746
639538.680,7981427.080,1.136
637476.180,7978677.080,0.679
636726.180,7977427.070,0.158
638413.680,7977927.070,1.294
637851.180,7983052.080,1.680
636038.680,7971989.570,0.576
638476.180,7977552.070,1.444
637226.180,7974614.570,0.469
634913.680,7972114.570,1.576
636913.680,7972052.070,1.261
637538.680,7973052.070,1.341
638913.680,7980114.580,1.058
636788.680,7977427.070,0.116
639101.180,7974302.070,1.222
636288.680,7977114.570,0.502
636788.680,7974677.070,0.555
635538.680,7974614.570,1.282
635288.680,7969552.060,0.391
638226.180,7973989.570,0.920
637538.680,7982114.580,0.737
639226.180,7971427.060,1.457
635726.180,7974677.070,0.940
637288.680,7978177.070,0.322
638601.180,7975614.570,0.220
636538.680,7979989.580,0.154
638038.680,7980927.080,1.507
638788.680,7982177.080,0.688
637413.680,7981302.080,0.708
635788.680,7977177.070,1.422
639226.180,7974364.570,0.944
636038.680,7979427.080,0.619
638851.180,7977614.570,1.315
635788.680,7969802.060,0.917
637788.680,7976052.070,0.272
636538.680,7970239.560,0.427
638101.180,7979989.580,0.877
635851.180,7979177.080,1.003
637413.680,7973427.070,1.097
639913.690,7981927.080,1.255
639976.180,7980052.080,1.562
637163.680,7973114.570,1.287
638851.180,7980364.580,1.116
638476.180,7974489.570,1.030
636663.680,7976302.070,0.624
636976.180,7979989.580,0.071
636476.180,7977739.570,0.598
639288.680,7979677.080,0.888
638163.680,7978739.580,1.248
638726.180,7972427.070,0.454
636913.680,7977302.070,0.548
636413.680,7978177.080,1.081
637226.180,7972989.570,1.185
638163.680,7981989.580,0.996
637038.680,7972989.570,1.552
639101.180,7974802.070,1.249
638413.680,7971552.060,0.745
635538.680,7972177.070,1.357
637663.680,7980489.580,1.055
638038.680,7972989.570,1.275
635663.680,7973677.070,0.472
635038.680,7969614.560,0.337
639101.180,7980864.580,0.729
636913.680,7973739.570,0.905
638226.180,7973239.570,0.714
638976.180,7979177.080,1.150
638413.680,7982739.580,1.495
636726.180,7972052.070,1.497
638663.680,7980177.080,1.082
636851.180,7972864.570,0.880
636851.180,7974239.570,1.386
638726.180,7979052.080,0.574
638476.180,7973614.570,0.797
639726.180,7981177.080,1.584
637101.180,7975927.070,0.476
640038.690,7982114.580,0.692
639038.680,7982552.080,0.230
635788.680,7979927.080,0.496
634851.180,7969177.060,0.821
634913.680,7971052.060,1.377
636226.180,7974239.570,1.212
637288.680,7976614.570,0.145
636788.680,7974864.570,0.746
635726.180,7976989.570,0.895
636976.180,7979489.580,0.328
638476.180,7972989.570,1.578
635913.680,7976552.070,0.932
634851.180,7971614.570,0.664
635476.180,7971427.060,0.269
639226.180,7981614.580,1.211
635663.680,7974489.570,1.283
639038.680,7972989.570,1.570
635913.680,7971864.570,0.771
639101.180,7973052.070,0.950
635913.680,7973052.070,1.443
638538.680,7979364.580,0.854
638163.680,7979927.080,0.956
639538.680,7981114.580,1.696
637226.180,7974052.070,0.753
